Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,GLD,SPY,TLT,^VIX,GLD,SPY,TLT,^VIX,GLD,SPY,TLT,^VIX,GLD,SPY,TLT,^VIX,GLD,SPY,TLT,^VIX,GLD,SPY,TLT,^VIX
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,143.9499969482422,296.125244140625,112.4310073852539,12.470000267028809,143.9499969482422,324.8699951171875,137.00999450683594,12.470000267028809,144.2100067138672,324.8900146484375,137.52999877929688,13.720000267028809,143.39999389648438,322.5299987792969,136.6699981689453,12.420000076293945,143.86000061035156,323.5400085449219,136.7899932861328,13.460000038146973,7733800,59151200,11034100,0
2020-01-03,145.86000061035156,293.8828430175781,114.16250610351562,14.020000457763672,145.86000061035156,322.4100036621094,139.1199951171875,14.020000457763672,146.32000732421875,323.6400146484375,139.16000366210938,16.200000762939453,145.39999389648438,321.1000061035156,137.8800048828125,13.130000114440918,145.75,321.1600036621094,138.27000427246094,15.010000228881836,12272800,77709700,12366000,0
2020-01-06,147.38999938964844,295.004150390625,113.51421356201172,13.850000381469727,147.38999938964844,323.6400146484375,138.3300018310547,13.850000381469727,148.47999572753906,323.7300109863281,139.7100067138672,16.389999389648438,146.9499969482422,320.3599853515625,138.14999389648438,13.539999961853027,148.44000244140625,320.489990234375,139.69000244140625,15.449999809265137,14403300,55653900,11369800,0
2020-01-07,147.97000122070312,294.1746520996094,112.95620727539062,13.789999961853027,147.97000122070312,322.7300109863281,137.64999389648438,13.789999961853027,148.13999938964844,323.5400085449219,138.47000122070312,14.460000038146973,147.42999267578125,322.239990234375,137.63999938964844,13.390000343322754,147.57000732421875,323.0199890136719,138.22000122070312,13.84000015258789,7978500,40496400,8381200,0
2020-01-08,146.86000061035156,295.7425231933594,112.20946502685547,13.449999809265137,146.86000061035156,324.45001220703125,136.74000549316406,13.449999809265137,148.61000061035156,325.7799987792969,138.30999755859375,15.239999771118164,146.13999938964844,322.6700134277344,136.32000732421875,12.829999923706055,148.49000549316406,322.94000244140625,137.92999267578125,15.15999984741211,22248500,68296000,10621700,0
2020-01-09,146.02999877929688,297.747802734375,112.60338592529297,12.539999961853027,146.02999877929688,326.6499938964844,137.22000122070312,12.539999961853027,146.41000366210938,326.7300109863281,137.44000244140625,13.239999771118164,145.44000244140625,325.5199890136719,135.91000366210938,12.529999732971191,146.07000732421875,326.1600036621094,136.0,12.949999809265137,10292300,48473300,7411500,0
2020-01-10,146.91000366210938,296.8909912109375,113.60445404052734,12.5600004196167,146.91000366210938,325.7099914550781,138.44000244140625,12.5600004196167,146.99000549316406,327.4599914550781,138.47000122070312,12.869999885559082,146.1699981689453,325.20001220703125,137.6300048828125,12.09000015258789,146.22000122070312,327.2900085449219,137.6699981689453,12.420000076293945,6183300,53029300,8776000,0
2020-01-13,145.82000732421875,298.9328308105469,113.25984954833984,12.319999694824219,145.82000732421875,327.95001220703125,138.02000427246094,12.319999694824219,146.3800048828125,327.9599914550781,138.08999633789062,13.09000015258789,145.77999877929688,325.9200134277344,137.38999938964844,12.319999694824219,146.35000610351562,326.3900146484375,137.8800048828125,12.84000015258789,7593800,47086800,5966900,0
2020-01-14,145.69000244140625,298.47705078125,113.84245300292969,12.390000343322754,145.69000244140625,327.45001220703125,138.72999572753906,12.390000343322754,145.80999755859375,328.6199951171875,138.82000732421875,13.819999694824219,145.0800018310547,326.8399963378906,138.13999938964844,12.050000190734863,145.4199981689453,327.4700012207031,138.17999267578125,12.720000267028809,6589700,62832800,13920300,0
2020-01-15,146.5399932861328,299.1514587402344,114.59744262695312,12.420000076293945,146.5399932861328,328.19000244140625,139.64999389648438,12.420000076293945,146.72999572753906,329.0199890136719,139.75999450683594,12.829999923706055,145.82000732421875,327.260009765625,139.02000427246094,11.949999809265137,146.2100067138672,327.3500061035156,139.52000427246094,12.789999961853027,6510000,72056600,6290500,0
2020-01-16,146.30999755859375,301.6399841308594,114.23640441894531,12.319999694824219,146.30999755859375,330.9200134277344,139.2100067138672,12.319999694824219,146.47000122070312,330.9200134277344,139.52999877929688,12.420000076293945,145.75999450683594,329.45001220703125,138.74000549316406,11.779999732971191,146.27000427246094,329.70001220703125,139.25999450683594,12.199999809265137,6069100,54050300,6798600,0
2020-01-17,146.5800018310547,302.578857421875,113.25984954833984,12.100000381469727,146.5800018310547,331.95001220703125,138.02000427246094,12.100000381469727,146.99000549316406,332.17999267578125,138.13999938964844,12.479999542236328,146.30999755859375,330.8500061035156,137.36000061035156,11.75,146.50999450683594,331.70001220703125,137.5800018310547,12.210000038146973,11121100,95846000,9693100,0
